Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
147914,1Chroniques,1,12,פְּלִשְׁתִּ֖ים,פְּלִשְׁתִּי,H6430,288
147915,1Chroniques,1,12,וְאֶת־,אֵת,H0853,10947
147916,1Chroniques,1,12,כַּפְתֹּרִֽים׃ ס,כַּפְתֹּרִי,H3732,3
147917,1Chroniques,1,13,וּכְנַ֗עַן,כְּנַ֫עַן,H3667,94
147918,1Chroniques,1,13,יָלַ֛ד,יָלַד,H3205,496
147919,1Chroniques,1,13,אֶת־,אֵת,H0853,10947
147920,1Chroniques,1,13,צִיד֥וֹן,צִידוֹן,H6721,22
147921,1Chroniques,1,13,בְּכֹר֖וֹ,בְּכוֹר,H1060,122
147922,1Chroniques,1,13,וְאֶת־,אֵת,H0853,10947
147923,1Chroniques,1,13,חֵֽת׃,חֵת,H2845,14
147924,1Chroniques,1,14,וְאֶת־,אֵת,H0853,10947
147925,1Chroniques,1,14,הַיְבוּסִי֙,יְבוּסִי,H2983,41
147926,1Chroniques,1,14,וְאֶת־,אֵת,H0853,10947
147927,1Chroniques,1,14,הָ֣אֱמֹרִ֔י,אֱמֹרִי,H0567,87
147928,1Chroniques,1,14,וְאֵ֖ת,אֵת,H0853,10947
147929,1Chroniques,1,14,הַגִּרְגָּשִֽׁי׃,גִּרְגָּשִׁי,H1622,7
147930,1Chroniques,1,15,וְאֶת־,אֵת,H0853,10947
147931,1Chroniques,1,15,הַחִוִּ֥י,חִוִּי,H2340,25
147932,1Chroniques,1,15,וְאֶת־,אֵת,H0853,10947
147933,1Chroniques,1,15,הַֽעַרְקִ֖י,עַרְקִי,H6208,2
147934,1Chroniques,1,15,וְאֶת־,אֵת,H0853,10947
147935,1Chroniques,1,15,הַסִּינִֽי׃,סִינִי,H5513,2
147936,1Chroniques,1,16,וְאֶת־,אֵת,H0853,10947
147937,1Chroniques,1,16,הָאַרְוָדִ֥י,אַרְוָדִי,H0721,2
147938,1Chroniques,1,16,וְאֶת־,אֵת,H0853,10947
147939,1Chroniques,1,16,הַצְּמָרִ֖י,צְמָרִי,H6786,2
147940,1Chroniques,1,16,וְאֶת־,אֵת,H0853,10947
147941,1Chroniques,1,16,הַֽחֲמָתִֽי׃ ס,חֲמָתִי,H2577,2
147942,1Chroniques,1,17,בְּנֵ֣י,בֵּן,H1121,4959
147943,1Chroniques,1,17,שֵׁ֔ם,שֵׁם,H8035,17
147944,1Chroniques,1,17,עֵילָ֣ם,עֵילָם,H5867,28
147945,1Chroniques,1,17,וְאַשּׁ֔וּר,אַשּׁוּר,H0804,151
147946,1Chroniques,1,17,וְאַרְפַּכְשַׁ֖ד,אַרְפַּכְשַׁד,H0775,9
147947,1Chroniques,1,17,וְל֣וּד,לוּד,H3865,5
147948,1Chroniques,1,17,וַאֲרָ֑ם,אֲרָם,H0758,143
147949,1Chroniques,1,17,וְע֥וּץ,עוּץ,H5780,8
