,tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
124609,128868,1 Jean,1,5,ἡ,ὁ,G3588,19785
124610,128869,1 Jean,1,5,ἀγγελία,ἀγγελία,G0031,2
124611,128870,1 Jean,1,5,ἣν,ὅς,G3739,1408
124612,128871,1 Jean,1,5,ἀκηκόαμεν,ἀκούω,G0191,426
124613,128872,1 Jean,1,5,ἀπ᾽,ἀπό,G0575,640
124614,128873,1 Jean,1,5,αὐτοῦ,αὐτός,G0846,5558
124615,128874,1 Jean,1,5,καὶ,καί,G2532,9108
124616,128875,1 Jean,1,5,ἀναγγέλλομεν,ἀναγγέλλω,G0312,14
124617,128876,1 Jean,1,5,ὑμῖν,σύ,G4771,2896
124618,128877,1 Jean,1,5,ὅτι,ὅτι,G3754,1291
124619,128878,1 Jean,1,5,ὁ,ὁ,G3588,19785
124620,128879,1 Jean,1,5,θεὸς,θεός,G2316,1311
124621,128880,1 Jean,1,5,φῶς,φῶς,G5457,73
124622,128881,1 Jean,1,5,ἐστιν,εἰμί,G1510,2458
124623,128882,1 Jean,1,5,καὶ,καί,G2532,9108
124624,128883,1 Jean,1,5,σκοτία,σκοτία,G4653,16
124625,128884,1 Jean,1,5,ἐν,ἐν,G1722,2728
124626,128885,1 Jean,1,5,αὐτῷ,αὐτός,G0846,5558
124627,128886,1 Jean,1,5,οὐκ,οὐ,G3756,1667
124628,128887,1 Jean,1,5,ἔστιν,εἰμί,G1510,2458
124629,128888,1 Jean,1,5,οὐδεμία,οὐδείς,G3762,232
124630,128889,1 Jean,1,6,ἐὰν,ἐάν,G1437,327
124631,128890,1 Jean,1,6,εἴπωμεν,ἔπω,G2036,929
124632,128891,1 Jean,1,6,ὅτι,ὅτι,G3754,1291
124633,128892,1 Jean,1,6,κοινωνίαν,κοινωνία,G2842,19
124634,128893,1 Jean,1,6,ἔχομεν,ἔχω,G2192,706
124635,128894,1 Jean,1,6,μετ᾽,μετά,G3326,468
124636,128895,1 Jean,1,6,αὐτοῦ,αὐτός,G0846,5558
124637,128896,1 Jean,1,6,καὶ,καί,G2532,9108
124638,128897,1 Jean,1,6,ἐν,ἐν,G1722,2728
124639,128898,1 Jean,1,6,τῷ,ὁ,G3588,19785
124640,128899,1 Jean,1,6,σκότει,σκότος,G4655,30
124641,128900,1 Jean,1,6,περιπατῶμεν,περιπατέω,G4043,95
124642,128901,1 Jean,1,6,ψευδόμεθα,ψεύδομαι,G5574,12
124643,128902,1 Jean,1,6,καὶ,καί,G2532,9108
124644,128903,1 Jean,1,6,οὐ,οὐ,G3756,1667
124645,128904,1 Jean,1,6,ποιοῦμεν,ποιέω,G4160,568
124646,128905,1 Jean,1,6,τὴν,ὁ,G3588,19785
124647,128906,1 Jean,1,6,ἀλήθειαν,ἀλήθεια,G0225,108
124648,128907,1 Jean,1,7,ἐὰν,ἐάν,G1437,327
124649,128908,1 Jean,1,7,δὲ,δέ,G1161,2771
124650,128909,1 Jean,1,7,ἐν,ἐν,G1722,2728
124651,128910,1 Jean,1,7,τῷ,ὁ,G3588,19785
124652,128911,1 Jean,1,7,φωτὶ,φῶς,G5457,73
124653,128912,1 Jean,1,7,περιπατῶμεν,περιπατέω,G4043,95
124654,128913,1 Jean,1,7,ὡς,ὡς,G5613,501
124655,128914,1 Jean,1,7,αὐτός,αὐτός,G0846,5558
124656,128915,1 Jean,1,7,ἐστιν,εἰμί,G1510,2458
124657,128916,1 Jean,1,7,ἐν,ἐν,G1722,2728
124658,128917,1 Jean,1,7,τῷ,ὁ,G3588,19785
124659,128918,1 Jean,1,7,φωτί,φῶς,G5457,73
124660,128919,1 Jean,1,7,κοινωνίαν,κοινωνία,G2842,19
124661,128920,1 Jean,1,7,ἔχομεν,ἔχω,G2192,706
124662,128921,1 Jean,1,7,μετ᾽,μετά,G3326,468
124663,128922,1 Jean,1,7,ἀλλήλων,ἀλλήλων,G0240,100
124664,128923,1 Jean,1,7,καὶ,καί,G2532,9108
124665,128924,1 Jean,1,7,τὸ,ὁ,G3588,19785
124666,128925,1 Jean,1,7,αἷμα,αἷμα,G0129,97
124667,128926,1 Jean,1,7,Ἰησοῦ,Ἰησοῦς,G2424,910
124668,128928,1 Jean,1,7,τοῦ,ὁ,G3588,19785
124669,128929,1 Jean,1,7,υἱοῦ,υἱός,G5207,372
124670,128930,1 Jean,1,7,αὐτοῦ,αὐτός,G0846,5558
124671,128931,1 Jean,1,7,καθαρίζει,καθαρίζω,G2511,31
124672,128932,1 Jean,1,7,ἡμᾶς,ἐγώ,G1473,2462
124673,128933,1 Jean,1,7,ἀπὸ,ἀπό,G0575,640
124674,128934,1 Jean,1,7,πάσης,πᾶς,G3956,1236
124675,128935,1 Jean,1,7,ἁμαρτίας,ἁμαρτία,G0266,173
124676,128936,1 Jean,1,8,ἐὰν,ἐάν,G1437,327
124677,128937,1 Jean,1,8,εἴπωμεν,ἔπω,G2036,929
124678,128938,1 Jean,1,8,ὅτι,ὅτι,G3754,1291
124679,128939,1 Jean,1,8,ἁμαρτίαν,ἁμαρτία,G0266,173
124680,128940,1 Jean,1,8,οὐκ,οὐ,G3756,1667
124681,128941,1 Jean,1,8,ἔχομεν,ἔχω,G2192,706
124682,128942,1 Jean,1,8,ἑαυτοὺς,ἑαυτοῦ,G1438,317
124683,128943,1 Jean,1,8,πλανῶμεν,πλανάω,G4105,39
124684,128944,1 Jean,1,8,καὶ,καί,G2532,9108
124685,128945,1 Jean,1,8,ἡ,ὁ,G3588,19785
124686,128946,1 Jean,1,8,ἀλήθεια,ἀλήθεια,G0225,108
124687,128947,1 Jean,1,8,οὐκ,οὐ,G3756,1667
124688,128948,1 Jean,1,8,ἔστιν,εἰμί,G1510,2458
124689,128949,1 Jean,1,8,ἐν,ἐν,G1722,2728
124690,128950,1 Jean,1,8,ἡμῖν,ἐγώ,G1473,2462
124691,128951,1 Jean,1,9,ἐὰν,ἐάν,G1437,327
124692,128952,1 Jean,1,9,ὁμολογῶμεν,ὁμολογέω,G3670,26
124693,128953,1 Jean,1,9,τὰς,ὁ,G3588,19785
124694,128954,1 Jean,1,9,ἁμαρτίας,ἁμαρτία,G0266,173
124695,128955,1 Jean,1,9,ἡμῶν,ἐγώ,G1473,2462
124696,128956,1 Jean,1,9,πιστός,πιστός,G4103,66
124697,128957,1 Jean,1,9,ἐστιν,εἰμί,G1510,2458
124698,128958,1 Jean,1,9,καὶ,καί,G2532,9108
124699,128959,1 Jean,1,9,δίκαιος,δίκαιος,G1342,80
124700,128960,1 Jean,1,9,ἵνα,ἵνα,G2443,668
124701,128961,1 Jean,1,9,ἀφῆ,ἀφίημι,G0863,140
124702,128962,1 Jean,1,9,ἡμῖν,ἐγώ,G1473,2462
124703,128963,1 Jean,1,9,τὰς,ὁ,G3588,19785
124704,128964,1 Jean,1,9,ἁμαρτίας,ἁμαρτία,G0266,173
124705,128965,1 Jean,1,9,καὶ,καί,G2532,9108
124706,128966,1 Jean,1,9,καθαρίσῃ,καθαρίζω,G2511,31
124707,128967,1 Jean,1,9,ἡμᾶς,ἐγώ,G1473,2462
124708,128968,1 Jean,1,9,ἀπὸ,ἀπό,G0575,640
124709,128969,1 Jean,1,9,πάσης,πᾶς,G3956,1236
124710,128970,1 Jean,1,9,ἀδικίας,ἀδικία,G0093,25
124711,128971,1 Jean,1,10,ἐὰν,ἐάν,G1437,327
124712,128972,1 Jean,1,10,εἴπωμεν,ἔπω,G2036,929
124713,128973,1 Jean,1,10,ὅτι,ὅτι,G3754,1291
124714,128974,1 Jean,1,10,οὐχ,οὐ,G3756,1667
124715,128975,1 Jean,1,10,ἡμαρτήκαμεν,ἁμαρτάνω,G0264,42
124716,128976,1 Jean,1,10,ψεύστην,ψεύστης,G5583,10
124717,128977,1 Jean,1,10,ποιοῦμεν,ποιέω,G4160,568
124718,128978,1 Jean,1,10,αὐτὸν,αὐτός,G0846,5558
124719,128979,1 Jean,1,10,καὶ,καί,G2532,9108
124720,128980,1 Jean,1,10,ὁ,ὁ,G3588,19785
124721,128981,1 Jean,1,10,λόγος,λόγος,G3056,330
124722,128982,1 Jean,1,10,αὐτοῦ,αὐτός,G0846,5558
124723,128983,1 Jean,1,10,οὐκ,οὐ,G3756,1667
124724,128984,1 Jean,1,10,ἔστιν,εἰμί,G1510,2458
124725,128985,1 Jean,1,10,ἐν,ἐν,G1722,2728
124726,128986,1 Jean,1,10,ἡμῖν,ἐγώ,G1473,2462
124727,128987,1 Jean,2,1,Τεκνία,τεκνίον,G5040,8
124728,128988,1 Jean,2,1,μου,ἐγώ,G1473,2462
124729,128989,1 Jean,2,1,ταῦτα,οὗτος,G3778,1380
124730,128990,1 Jean,2,1,γράφω,γράφω,G1125,190
124731,128991,1 Jean,2,1,ὑμῖν,σύ,G4771,2896
124732,128992,1 Jean,2,1,ἵνα,ἵνα,G2443,668
124733,128993,1 Jean,2,1,μὴ,μή,G3361,1065
124734,128994,1 Jean,2,1,ἁμάρτητε,ἁμαρτάνω,G0264,42
124735,128995,1 Jean,2,1,καὶ,καί,G2532,9108
124736,128996,1 Jean,2,1,ἐάν,ἐάν,G1437,327
124737,128997,1 Jean,2,1,τις,τις,G5100,525
124738,128998,1 Jean,2,1,ἁμάρτῃ,ἁμαρτάνω,G0264,42
124739,128999,1 Jean,2,1,παράκλητον,παράκλητος,G3875,5
124740,129000,1 Jean,2,1,ἔχομεν,ἔχω,G2192,706
124741,129001,1 Jean,2,1,πρὸς,πρός,G4314,699
124742,129002,1 Jean,2,1,τὸν,ὁ,G3588,19785
124743,129003,1 Jean,2,1,πατέρα,πατήρ,G3962,414
124744,129004,1 Jean,2,1,Ἰησοῦν,Ἰησοῦς,G2424,910
124745,129005,1 Jean,2,1,Χριστὸν,Χριστός,G5547,529
124746,129006,1 Jean,2,1,δίκαιον,δίκαιος,G1342,80
124747,129007,1 Jean,2,2,καὶ,καί,G2532,9108
124748,129008,1 Jean,2,2,αὐτὸς,αὐτός,G0846,5558
124749,129009,1 Jean,2,2,ἱλασμός,ἱλασμός,G2434,2
124750,129010,1 Jean,2,2,ἐστιν,εἰμί,G1510,2458
124751,129011,1 Jean,2,2,περὶ,περί,G4012,331
124752,129012,1 Jean,2,2,τῶν,ὁ,G3588,19785
124753,129013,1 Jean,2,2,ἁμαρτιῶν,ἁμαρτία,G0266,173
