tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
93235,1Corinthiens,1,1,Παῦλος,Παῦλος,G3972,158
93236,1Corinthiens,1,1,κλητὸς,κλητός,G2822,10
93237,1Corinthiens,1,1,ἀπόστολος,ἀπόστολος,G0652,79
93238,1Corinthiens,1,1,Χριστοῦ,Χριστός,G5547,529
93239,1Corinthiens,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
93240,1Corinthiens,1,1,διὰ,διά,G1223,666
93241,1Corinthiens,1,1,θελήματος,θέλημα,G2307,62
93242,1Corinthiens,1,1,θεοῦ,θεός,G2316,1311
93243,1Corinthiens,1,1,καὶ,καί,G2532,9108
93244,1Corinthiens,1,1,Σωσθένης,Σωσθένης,G4988,2
93245,1Corinthiens,1,1,ὁ,ὁ,G3588,19785
93246,1Corinthiens,1,1,ἀδελφὸς,ἀδελφός,G0080,343
93247,1Corinthiens,1,2,τῆ,ὁ,G3588,19785
93248,1Corinthiens,1,2,ἐκκλησίᾳ,ἐκκλησία,G1577,114
93249,1Corinthiens,1,2,τοῦ,ὁ,G3588,19785
93250,1Corinthiens,1,2,θεοῦ,θεός,G2316,1311
93251,1Corinthiens,1,2,τῆ,ὁ,G3588,19785
93252,1Corinthiens,1,2,οὔσῃ,εἰμί,G1510,2458
93253,1Corinthiens,1,2,ἐν,ἐν,G1722,2728
93254,1Corinthiens,1,2,Κορίνθῳ,Κόρινθος,G2882,6
93255,1Corinthiens,1,2,ἡγιασμένοις,ἁγιάζω,G0037,28
93256,1Corinthiens,1,2,ἐν,ἐν,G1722,2728
93257,1Corinthiens,1,2,Χριστῷ,Χριστός,G5547,529
93258,1Corinthiens,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
93259,1Corinthiens,1,2,κλητοῖς,κλητός,G2822,10
93260,1Corinthiens,1,2,ἁγίοις,ἅγιος,G0040,224
93261,1Corinthiens,1,2,σὺν,σύν,G4862,127
93262,1Corinthiens,1,2,πᾶσιν,πᾶς,G3956,1236
93263,1Corinthiens,1,2,τοῖς,ὁ,G3588,19785
93264,1Corinthiens,1,2,ἐπικαλουμένοις,ἐπικαλέω,G1941,30
93265,1Corinthiens,1,2,τὸ,ὁ,G3588,19785
93266,1Corinthiens,1,2,ὄνομα,ὄνομα,G3686,229
93267,1Corinthiens,1,2,τοῦ,ὁ,G3588,19785
93268,1Corinthiens,1,2,κυρίου,κύριος,G2962,716
93269,1Corinthiens,1,2,ἡμῶν,ἐγώ,G1473,2462
93270,1Corinthiens,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
93271,1Corinthiens,1,2,Χριστοῦ,Χριστός,G5547,529
