tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
131226,3Jean,1,1,Ὁ,ὁ,G3588,19785
131227,3Jean,1,1,πρεσβύτερος,πρεσβύτερος,G4245,65
131228,3Jean,1,1,Γαΐῳ,Γάϊος,G1050,5
131229,3Jean,1,1,τῷ,ὁ,G3588,19785
131230,3Jean,1,1,ἀγαπητῷ,ἀγαπητός,G0027,61
131231,3Jean,1,1,ὃν,ὅς,G3739,1408
131232,3Jean,1,1,ἐγὼ,ἐγώ,G1473,2462
131233,3Jean,1,1,ἀγαπῶ,ἀγαπάω,G0025,143
131234,3Jean,1,1,ἐν,ἐν,G1722,2728
131235,3Jean,1,1,ἀληθείᾳ,ἀλήθεια,G0225,108
131236,3Jean,1,2,ἀγαπητέ,ἀγαπητός,G0027,61
131237,3Jean,1,2,περὶ,περί,G4012,331
131238,3Jean,1,2,πάντων,πᾶς,G3956,1236
131239,3Jean,1,2,εὔχομαί,εὔχομαι,G2172,7
131240,3Jean,1,2,σε,σύ,G4771,2896
131241,3Jean,1,2,εὐοδοῦσθαι,εὐοδόω,G2137,4
131242,3Jean,1,2,καὶ,καί,G2532,9108
131243,3Jean,1,2,ὑγιαίνειν,ὑγιαίνω,G5198,12
131244,3Jean,1,2,καθὼς,καθώς,G2531,182
131245,3Jean,1,2,εὐοδοῦταί,εὐοδόω,G2137,4
131246,3Jean,1,2,σου,σύ,G4771,2896
131247,3Jean,1,2,ἡ,ὁ,G3588,19785
131248,3Jean,1,2,ψυχή,ψυχή,G5590,102
131249,3Jean,1,3,ἐχάρην,χαίρω,G5463,74
131250,3Jean,1,3,γὰρ,γάρ,G1063,1039
131251,3Jean,1,3,λίαν,λίαν,G3029,12
131252,3Jean,1,3,ἐρχομένων,ἔρχομαι,G2064,630
131253,3Jean,1,3,ἀδελφῶν,ἀδελφός,G0080,343
131254,3Jean,1,3,καὶ,καί,G2532,9108
131255,3Jean,1,3,μαρτυρούντων,μαρτυρέω,G3140,76
131256,3Jean,1,3,σου,σύ,G4771,2896
131257,3Jean,1,3,τῆ,ὁ,G3588,19785
131258,3Jean,1,3,ἀληθείᾳ,ἀλήθεια,G0225,108
131259,3Jean,1,3,καθὼς,καθώς,G2531,182
131260,3Jean,1,3,σὺ,σύ,G4771,2896
131261,3Jean,1,3,ἐν,ἐν,G1722,2728
131262,3Jean,1,3,ἀληθείᾳ,ἀλήθεια,G0225,108
131263,3Jean,1,3,περιπατεῖς,περιπατέω,G4043,95
131264,3Jean,1,4,μειζοτέραν,μέγας,G3173,241
131265,3Jean,1,4,τούτων,οὗτος,G3778,1380
131266,3Jean,1,4,οὐκ,οὐ,G3756,1667
131267,3Jean,1,4,ἔχω,ἔχω,G2192,706
131268,3Jean,1,4,χαρὰν,χαρά,G5479,59
131269,3Jean,1,4,ἵνα,ἵνα,G2443,668
131270,3Jean,1,4,ἀκούω,ἀκούω,G0191,426
131271,3Jean,1,4,τὰ,ὁ,G3588,19785
131272,3Jean,1,4,ἐμὰ,ἐμός,G1699,72
131273,3Jean,1,4,τέκνα,τέκνον,G5043,98
131274,3Jean,1,4,ἐν,ἐν,G1722,2728
131275,3Jean,1,4,τῆ,ὁ,G3588,19785
131276,3Jean,1,4,ἀληθείᾳ,ἀλήθεια,G0225,108
131277,3Jean,1,4,περιπατοῦντα,περιπατέω,G4043,95
131278,3Jean,1,5,ἀγαπητέ,ἀγαπητός,G0027,61
131279,3Jean,1,5,πιστὸν,πιστός,G4103,66
131280,3Jean,1,5,ποιεῖς,ποιέω,G4160,568
131281,3Jean,1,5,ὃ,ὅς,G3739,1408
131282,3Jean,1,5,ἐὰν,ἐάν,G1437,327
131283,3Jean,1,5,ἐργάσῃ,ἐργάζομαι,G2038,40
131284,3Jean,1,5,εἰς,εἰς,G1519,1757
131285,3Jean,1,5,τοὺς,ὁ,G3588,19785
131286,3Jean,1,5,ἀδελφοὺς,ἀδελφός,G0080,343
131287,3Jean,1,5,καὶ,καί,G2532,9108
131289,3Jean,1,5,τοῦτο,οὗτος,G3778,1380
131290,3Jean,1,5,ξένους,ξένος,G3581,14
131291,3Jean,1,6,οἳ,ὅς,G3739,1408
131292,3Jean,1,6,ἐμαρτύρησάν,μαρτυρέω,G3140,76
131293,3Jean,1,6,σου,σύ,G4771,2896
131294,3Jean,1,6,τῆ,ὁ,G3588,19785
131295,3Jean,1,6,ἀγάπῃ,ἀγάπη,G0026,116
131296,3Jean,1,6,ἐνώπιον,ἐνώπιον,G1799,94
131297,3Jean,1,6,ἐκκλησίας,ἐκκλησία,G1577,114
131298,3Jean,1,6,οὓς,ὅς,G3739,1408
131299,3Jean,1,6,καλῶς,καλῶς,G2573,36
131300,3Jean,1,6,ποιήσεις,ποιέω,G4160,568
131301,3Jean,1,6,προπέμψας,προπέμπω,G4311,9
131302,3Jean,1,6,ἀξίως,ἀξίως,G0516,6
131303,3Jean,1,6,τοῦ,ὁ,G3588,19785
131304,3Jean,1,6,θεοῦ,θεός,G2316,1311
131305,3Jean,1,7,ὑπὲρ,ὑπέρ,G5228,153
131306,3Jean,1,7,γὰρ,γάρ,G1063,1039
131307,3Jean,1,7,τοῦ,ὁ,G3588,19785
131308,3Jean,1,7,ὀνόματος,ὄνομα,G3686,229
131309,3Jean,1,7,ἐξῆλθον,ἐξέρχομαι,G1831,217
131310,3Jean,1,7,μηδὲν,μηδείς,G3367,90
131311,3Jean,1,7,λαμβάνοντες,λαμβάνω,G2983,257
131312,3Jean,1,7,ἀπὸ,ἀπό,G0575,640
