w,book,chapter,verse,orig,lex,strong,freq
125815,1Rois,1,13,וּמַדּ֖וּעַ,מַדּוּעַ,H4069,72.0
125816,1Rois,1,13,מָלַ֥ךְ,מָלַךְ,H4427,348.0
125817,1Rois,1,13,אֲדֹנִיָֽהוּ׃,אֲדֹנִיָּ֫הוּ,H0138,26.0
125818,1Rois,1,14,הִנֵּ֗ה,הִנֵּה,H2009,843.0
125819,1Rois,1,14,עוֹדָ֛ךְ,עוֹד,H5750,490.0
125820,1Rois,1,14,מְדַבֶּ֥רֶת,דָבַר,H1696,1142.0
125821,1Rois,1,14,שָׁ֖ם,שָׁם,H8033,834.0
125822,1Rois,1,14,עִם־,עִם,H5973,1052.0
125823,1Rois,1,14,הַמֶּ֑לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125824,1Rois,1,14,וַאֲנִי֙,,H0589,874.0
125825,1Rois,1,14,אָב֣וֹא,בּוֹא,H0935,2572.0
125826,1Rois,1,14,אַחֲרַ֔יִךְ,אַחַר,H0310,716.0
125827,1Rois,1,14,וּמִלֵּאתִ֖י,מָלֵא,H4390,247.0
125828,1Rois,1,14,אֶת־,אֵת,H0853,10946.0
125829,1Rois,1,14,דְּבָרָֽיִךְ׃,דָּבָר,H1697,1442.0
125830,1Rois,1,15,וַתָּבֹ֨א,בּוֹא,H0935,2572.0
125831,1Rois,1,15,בַת־,בַּת־שֶׁ֫בַע,H1339,22.0
125832,1Rois,1,15,שֶׁ֤בֶע,בַּת־שֶׁ֫בַע,H1339,22.0
125833,1Rois,1,15,אֶל־,אֶל,H0413,5515.0
125834,1Rois,1,15,הַמֶּ֙לֶךְ֙,מֶ֫לֶךְ,H4428,2526.0
125835,1Rois,1,15,הַחַ֔דְרָה,חֶ֫דֶר,H2315,38.0
125836,1Rois,1,15,וְהַמֶּ֖לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125837,1Rois,1,15,זָקֵ֣ן,זָקֵן,H2204,27.0
125838,1Rois,1,15,מְאֹ֑ד,מְאֹד,H3966,300.0
125839,1Rois,1,15,וַֽאֲבִישַׁג֙,אֲבִישַׁג,H0049,5.0
125840,1Rois,1,15,הַשּׁ֣וּנַמִּ֔ית,שׁוּנַמִּית,H7767,8.0
125841,1Rois,1,15,מְשָׁרַ֖ת,שָׁרַת,H8334,97.0
125842,1Rois,1,15,אֶת־,אֵת,H0853,10946.0
125843,1Rois,1,15,הַמֶּֽלֶךְ׃,מֶ֫לֶךְ,H4428,2526.0
125844,1Rois,1,16,וַתִּקֹּ֣ד,קָדַד,H6915,15.0
125845,1Rois,1,16,בַּת־,בַּת־שֶׁ֫בַע,H1339,22.0
125846,1Rois,1,16,שֶׁ֔בַע,בַּת־שֶׁ֫בַע,H1339,22.0
125847,1Rois,1,16,וַתִּשְׁתַּ֖חוּ,שָׁחָה,H7812,172.0
125848,1Rois,1,16,לַמֶּ֑לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125849,1Rois,1,16,וַיֹּ֥אמֶר,אָמַר,H0559,5309.0
125850,1Rois,1,16,הַמֶּ֖לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125851,1Rois,1,16,מַה־,מָה,H4100,753.0
125852,1Rois,1,16,לָּֽךְ׃,,H9032,333.0
125853,1Rois,1,17,וַתֹּ֣אמֶר,אָמַר,H0559,5309.0
125854,1Rois,1,17,ל֗וֹ,,H9033,1549.0
125855,1Rois,1,17,אֲדֹנִי֙,אָדוֹן,H0113,333.0
125856,1Rois,1,17,אַתָּ֨ה,אַתָּ֫ה,H0859,1094.0
125857,1Rois,1,17,נִשְׁבַּ֜עְתָּ,שָׁבַע,H7650,186.0
125858,1Rois,1,17,בַּֽיהוָ֤ה,יהוה,H3068,6528.0
125859,1Rois,1,17,אֱלֹהֶ֙יךָ֙,אֱלֹהִים,H0430,2603.0
125860,1Rois,1,17,לַֽאֲמָתֶ֔ךָ,אָמָה,H0519,56.0
125861,1Rois,1,17,כִּֽי־,כִּי,H3588,4483.0
125862,1Rois,1,17,שְׁלֹמֹ֥ה,שְׁלֹמֹה,H8010,293.0
125863,1Rois,1,17,בְנֵ֖ךְ,בֵּן,H1121,4959.0
125864,1Rois,1,17,יִמְלֹ֣ךְ,מָלַךְ,H4427,348.0
125865,1Rois,1,17,אַחֲרָ֑י,אַחַר,H0310,716.0
125866,1Rois,1,17,וְה֖וּא,הוּא,H1931,1878.0
125867,1Rois,1,17,יֵשֵׁ֥ב,יָשַׁב,H3427,1078.0
125868,1Rois,1,17,עַל־,עַל,H5921,5774.0
125869,1Rois,1,17,כִּסְאִֽי׃,כִּסֵּא,H3678,135.0
125870,1Rois,1,18,וְעַתָּ֕ה,עַתָּ֫ה,H6258,433.0
125871,1Rois,1,18,הִנֵּ֥ה,הִנֵּה,H2009,843.0
125872,1Rois,1,18,אֲדֹנִיָּ֖ה,אֲדֹנִיָּ֫הוּ,H0138,26.0
125873,1Rois,1,18,מָלָ֑ךְ,מָלַךְ,H4427,348.0
125874,1Rois,1,18,וְעַתָּ֛ה,עַתָּ֫ה,H6258,433.0
125875,1Rois,1,18,אֲדֹנִ֥י,אָדוֹן,H0113,333.0
125876,1Rois,1,18,הַמֶּ֖לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125877,1Rois,1,18,לֹ֥א,לֹא,H3808,5170.0
125878,1Rois,1,18,יָדָֽעְתָּ׃,יָדַע,H3045,946.0
125879,1Rois,1,19,וַ֠יִּזְבַּח,זָבַח,H2076,134.0
125880,1Rois,1,19,שׁ֥וֹר,שׁוֹר,H7794,79.0
125881,1Rois,1,19,וּֽמְרִיא־,מְרִיא,H4806,8.0
125882,1Rois,1,19,וְצֹאן֮,צֹאן,H6629,274.0
125883,1Rois,1,19,לָרֹב֒,רֹב,H7230,149.0
125884,1Rois,1,19,וַיִּקְרָא֙,קָרָא,H7121,733.0
125885,1Rois,1,19,לְכָל־,כֹּל,H3605,5415.0
125886,1Rois,1,19,בְּנֵ֣י,בֵּן,H1121,4959.0
125887,1Rois,1,19,הַמֶּ֔לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125888,1Rois,1,19,וּלְאֶבְיָתָר֙,אֶבְיָתָר,H0054,30.0
125889,1Rois,1,19,הַכֹּהֵ֔ן,כֹּהֵן,H3548,750.0
125890,1Rois,1,19,וּלְיֹאָ֖ב,יוֹאָב,H3097,145.0
125891,1Rois,1,19,שַׂ֣ר,שַׂר,H8269,421.0
125892,1Rois,1,19,הַצָּבָ֑א,צָבָא,H6635,484.0
125893,1Rois,1,19,וְלִשְׁלֹמֹ֥ה,שְׁלֹמֹה,H8010,293.0
125894,1Rois,1,19,עַבְדְּךָ֖,עֶ֫בֶד,H5650,801.0
125895,1Rois,1,19,לֹ֥א,לֹא,H3808,5170.0
125896,1Rois,1,19,קָרָֽא׃,קָרָא,H7121,733.0
125897,1Rois,1,20,וְאַתָּה֙,אַתָּ֫ה,H0859,1094.0
125898,1Rois,1,20,אֲדֹנִ֣י,אָדוֹן,H0113,333.0
125899,1Rois,1,20,הַמֶּ֔לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125900,1Rois,1,20,עֵינֵ֥י,עַ֫יִן,H5869,887.0
125901,1Rois,1,20,כָל־,כֹּל,H3605,5415.0
125902,1Rois,1,20,יִשְׂרָאֵ֖ל,יִשְׂרָאֵל,H3478,2508.0
125903,1Rois,1,20,עָלֶ֑יךָ,עַל,H5921,5774.0
125904,1Rois,1,20,לְהַגִּ֣יד,נָגַד,H5046,371.0
125905,1Rois,1,20,לָהֶ֔ם,,H9038,1125.0
125906,1Rois,1,20,מִ֗י,מִי,H4310,423.0
125907,1Rois,1,20,יֵשֵׁ֛ב,יָשַׁב,H3427,1078.0
125908,1Rois,1,20,עַל־,עַל,H5921,5774.0
125909,1Rois,1,20,כִּסֵּ֥א,כִּסֵּא,H3678,135.0
125910,1Rois,1,20,אֲדֹנִֽי־,אָדוֹן,H0113,333.0
125911,1Rois,1,20,הַמֶּ֖לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125912,1Rois,1,20,אַחֲרָֽיו׃,אַחַר,H0310,716.0
125913,1Rois,1,21,וְהָיָ֕ה,הָיָה,H1961,3562.0
125914,1Rois,1,21,כִּשְׁכַ֥ב,שָׁכַב,H7901,212.0
125915,1Rois,1,21,אֲדֹנִֽי־,אָדוֹן,H0113,333.0
125916,1Rois,1,21,הַמֶּ֖לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125917,1Rois,1,21,עִם־,עִם,H5973,1052.0
125918,1Rois,1,21,אֲבֹתָ֑יו,אָב,H0001,1213.0
125919,1Rois,1,21,וְהָיִ֗יתִי,הָיָה,H1961,3562.0
125920,1Rois,1,21,אֲנִ֛י,,H0589,874.0
125921,1Rois,1,21,וּבְנִ֥י,בֵּן,H1121,4959.0
125922,1Rois,1,21,שְׁלֹמֹ֖ה,שְׁלֹמֹה,H8010,293.0
125923,1Rois,1,21,חַטָּאִֽים׃,חַטָּא,H2400,19.0
125924,1Rois,1,22,וְהִנֵּ֛ה,הִנֵּה,H2009,843.0
125925,1Rois,1,22,עוֹדֶ֥נָּה,עוֹד,H5750,490.0
125926,1Rois,1,22,מְדַבֶּ֖רֶת,דָבַר,H1696,1142.0
125927,1Rois,1,22,עִם־,עִם,H5973,1052.0
125928,1Rois,1,22,הַמֶּ֑לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125929,1Rois,1,22,וְנָתָ֥ן,נָתָן,H5416,42.0
125930,1Rois,1,22,הַנָּבִ֖יא,נָבִיא,H5030,315.0
125931,1Rois,1,22,בָּֽא׃,בּוֹא,H0935,2572.0
125932,1Rois,1,23,וַיַּגִּ֤ידוּ,נָגַד,H5046,371.0
125933,1Rois,1,23,לַמֶּ֙לֶךְ֙,מֶ֫לֶךְ,H4428,2526.0
125934,1Rois,1,23,לֵאמֹ֔ר,אָמַר,H0559,5309.0
125935,1Rois,1,23,הִנֵּ֖ה,הִנֵּה,H2009,843.0
125936,1Rois,1,23,נָתָ֣ן,נָתָן,H5416,42.0
125937,1Rois,1,23,הַנָּבִ֑יא,נָבִיא,H5030,315.0
125938,1Rois,1,23,וַיָּבֹא֙,בּוֹא,H0935,2572.0
125939,1Rois,1,23,לִפְנֵ֣י,פָּנֶה,H6440,2127.0
125940,1Rois,1,23,הַמֶּ֔לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125941,1Rois,1,23,וַיִּשְׁתַּ֧חוּ,שָׁחָה,H7812,172.0
125942,1Rois,1,23,לַמֶּ֛לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125943,1Rois,1,23,עַל־,עַל,H5921,5774.0
125944,1Rois,1,23,אַפָּ֖יו,אַף,H0639,276.0
125945,1Rois,1,23,אָֽרְצָה׃,אֶ֫רֶץ,H0776,2504.0
125946,1Rois,1,24,וַיֹּאמֶר֮,אָמַר,H0559,5309.0
125947,1Rois,1,24,נָתָן֒,נָתָן,H5416,42.0
125948,1Rois,1,24,אֲדֹנִ֣י,אָדוֹן,H0113,333.0
125949,1Rois,1,24,הַמֶּ֔לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125950,1Rois,1,24,אַתָּ֣ה,אַתָּ֫ה,H0859,1094.0
125951,1Rois,1,24,אָמַ֔רְתָּ,אָמַר,H0559,5309.0
